Request,Total Time,Connection Time,TTFB
1,0.682904,0.022528,0.682652
2,0.745775,0.012097,0.745599
3,0.686881,0.010593,0.686710
4,0.684836,0.010106,0.683867
5,0.688338,0.011252,0.686030
